Round 1 Ability	Round 2 Ability	Round 3 Ability	Blurb	Dialogue				
Fireball			Jessica said...	Did you hear what Jessica said about you? Girls can be soooo mean sometimes.				
Fireball			Have you heard?	Have you heard what everyone is saying about you? It's so rude.				
Fireball			I can't believe what they said...	I can't believe what everyone is saying about you!				
Fireball			So sorry about the rumors.	I'm sorry people are saying such terrible things about you! I have no idea how that got started.				
Fireball			Glad I'm not you.	I'm sure glad that it's not ME people are saying such terrible things about.				
Fireball			I heard...	I heard that it was Missy who started that nasty rumor about you.				
Fireball			They're saying...	I've been hearing such awful things about you! I can't believe someone would say such things...				
Fireball			Everyone picks on you.	It's so unfair that you're the only one people ever pick on!				
Fireball			Everyone is talking about you...	I don't know who started saying such things about you, but you sure have the whole school talking!				
Fireball			Heard through the grapevine...	Samantha told me that Kristy told her that Justin told her that...well...you know...				
Fireball			Is it true?	You'd tell ME if those rumors were true...right?				
Fireball			Everyone else is so mean...	Those people gossping about you are so mean! I would never participate in that...				
Sing			I'm great today!	I've been having a great day, I woke up on time, had a great breakfast, and look perfect.				
Sing			Want help?	What do you think of my outfit? It's great right? Would you like some fashion tips?				
Sing			I look great.	Don't I look great today?				
Sing			You wish you were me.	You look so sad...is it because you're not me?				
Sing			#Flawless	I woke up like this...you look like you haven't slept at all!				
Sing			My best feature?	What's your favorite thing about my look today? Go on...take your time.				
Sing			Check me out!	Hey, check me out! I look good, even by my own high standards.				
Sing			Everything works.	Do you ever have one of those days when absolutely everything works for you? No?				
Sing			On a scale from 1-10...	On a scale from 1 to 10...do you think I'm an 11? Or a 12?				
Sing			#Blessed	Everything's been going so well for me lately!				
Sing			Enough about you	You look upset...I'm sorry that your life isn't going as well as mine is!				
Sing			Happy to be me!	I'm so happy with my life right now...I can't imagine changing a single thing!				
Fireball	Pull		I'm better than that.	I'm better than that level of insults though.				
Fireball	Shield		They said it first!	I was just repeating what everyone else was saying.				
Fireball	Lunge		I know it's harsh...	I know it might be hard to hear everyone say such mean things about you, which is why I wanted to tell you first.				
